protein,mll_full,mll_joint,lr
P02413-(RPLO)_sample_1,2.853620029524957,1.910776726727165,1.885686605595584
P02413-(RPLO)_sample_2,2.570858366749854,1.8464102871584507,1.4488961591828065
P02413-(RPLO)_sample_3,2.662881203319237,1.8158163637180584,1.6941296792023572
P02413-(RPLO)_sample_4,2.9036711121656564,1.9401397315054907,1.9270627613203315
P02413-(RPLO)_sample_5,2.038737697131368,1.5572107907792139,0.9630538127043082
P02413-(RPLO)_sample_6,2.7057910802969705,1.9070685447661555,1.59744507106163
P02413-(RPLO)_sample_7,2.8167260855130225,1.9491468108031398,1.7351585494197654
P02413-(RPLO)_sample_8,2.6353824948079696,1.872855938343406,1.5250531129291272
P02413-(RPLO)_sample_9,2.6210429969610427,1.8218024300092261,1.5984811339036331
P02413-(RPLO)_sample_10,3.099357586949073,1.9762866151638017,2.2461419435705423
P02931-(OMPF)_sample_1,1.982353660494328,1.352649367795019,1.2594085853986177
P02931-(OMPF)_sample_2,2.0355600328419197,1.3213734463903724,1.4283731729030946
P02931-(OMPF)_sample_3,1.7901232127971032,1.3159914336857554,0.9482635582226955
P02931-(OMPF)_sample_4,2.223785061360166,1.460553933631412,1.5264622554575085
P02931-(OMPF)_sample_5,1.6504856653286395,1.2022804593390712,0.8964104119791365
P02931-(OMPF)_sample_6,1.9132431216387644,1.3555599770440887,1.1153662891893514
P02931-(OMPF)_sample_7,2.10522669645556,1.391974148095629,1.426505096719862
P02931-(OMPF)_sample_8,2.330281227931913,1.5492673892120215,1.5620276774397834
P02931-(OMPF)_sample_9,1.7538016391352325,1.2070812186488724,1.09344084097272
P02931-(OMPF)_sample_10,1.9496958564939608,1.3377187773197472,1.2239541583484272
P02943-(LAMB)_sample_1,1.345592942112446,1.018876648407713,0.653432587409466
P02943-(LAMB)_sample_2,1.598846390892207,1.1024626966217832,0.9927673885408477
P02943-(LAMB)_sample_3,1.7541903349167483,1.1467887702719508,1.2148031292895949
P02943-(LAMB)_sample_4,1.7568642152735237,1.179031423444755,1.1556655836575374
P02943-(LAMB)_sample_5,1.907023481159913,1.1655193803200172,1.4830082016797914
P02943-(LAMB)_sample_6,1.802193181494153,1.192924436032181,1.2185374909239441
P02943-(LAMB)_sample_7,1.630898525429686,1.1523230279974688,0.9571509948644343
P02943-(LAMB)_sample_8,1.8449763707862163,1.2653004702819999,1.159351801008433
P02943-(LAMB)_sample_9,1.9235841685708097,1.2536288931549213,1.3399105508317768
P02943-(LAMB)_sample_10,1.8450255612731237,1.241482484421773,1.2070861537027016
P03004-(DNAA)_sample_1,3.233511335150606,2.2437819395527825,1.979458791195647
P03004-(DNAA)_sample_2,3.304158330791963,2.233715394451194,2.1408858726815376
P03004-(DNAA)_sample_3,3.313414309915596,2.171613433191567,2.2836017534480586
P03004-(DNAA)_sample_4,3.3184249205968253,2.230214086219046,2.176421668755559
P03004-(DNAA)_sample_5,3.490037500801521,2.161378403662999,2.6573181942770443
P03004-(DNAA)_sample_6,3.577399557530654,2.283358646531273,2.5880818219987614
P03004-(DNAA)_sample_7,3.6802026610817973,2.3794818393324735,2.6014416434986476
P03004-(DNAA)_sample_8,2.834800249696631,2.037813172990545,1.593974153412172
P03004-(DNAA)_sample_9,3.514185899966522,2.39297645911913,2.2424188816947845
P03004-(DNAA)_sample_10,3.726170315239613,2.414014485314018,2.6243116598511893
P03023-(LACI)_sample_1,3.905321232936606,2.5760214088519526,2.6585996481693064
P03023-(LACI)_sample_2,3.6060701626489555,2.4238444604531177,2.3644514043916756
P03023-(LACI)_sample_3,3.6282649853154814,2.3232155446947456,2.6100988812414716
P03023-(LACI)_sample_4,3.465932100490533,2.371020221288965,2.1898237584031355
P03023-(LACI)_sample_5,3.5965601979620647,2.3849385682050785,2.4232432595139723
P03023-(LACI)_sample_6,3.342168853825363,2.3414974979027616,2.0013427118452025
P03023-(LACI)_sample_7,3.649718018728792,2.3912362347789413,2.516963567899701
P03023-(LACI)_sample_8,3.2381205615036515,2.263863382087061,1.9485143588331812
P03023-(LACI)_sample_9,3.2302440835639743,2.230000184416634,2.0004877982946807
P03023-(LACI)_sample_10,3.6861852737553815,2.33190016388767,2.7085702197354227
P03813-(YGEA)_sample_1,1.8993762349296894,1.278177963889701,1.2423965420799767
P03813-(YGEA)_sample_2,1.5747956645427326,1.1636018824524073,0.8223875641806506
P03813-(YGEA)_sample_3,2.0078278651188706,1.270578297658132,1.4744991349214773
