,condition,uniqueID,y,x
0,lysate,P00350-(GND),1.0,37.0
1,lysate,P00350-(GND),1.0527202098766295,40.4
2,lysate,P00350-(GND),1.0526828071692358,46.9
3,lysate,P00350-(GND),1.1081972858253788,52.9
4,lysate,P00350-(GND),1.0267819014996942,58.6
5,lysate,P00350-(GND),0.1914842398126875,62.8
6,lysate,P00350-(GND),0.0393130228656528,69.0
7,lysate,P00350-(GND),0.032727604235106,74.8
8,lysate,P00350-(GND),0.0242821600866651,80.5
9,lysate,P00350-(GND),0.0208281334760571,87.0
10,lysate,P00350-(GND),1.0,37.0
11,lysate,P00350-(GND),1.1081120951592618,40.4
12,lysate,P00350-(GND),1.043908459346254,46.9
13,lysate,P00350-(GND),1.2267808014164976,52.9
14,lysate,P00350-(GND),1.139713741541842,58.6
15,lysate,P00350-(GND),0.238373843790866,62.8
16,lysate,P00350-(GND),0.0353829303989624,69.0
17,lysate,P00350-(GND),0.0287051440629518,74.8
18,lysate,P00350-(GND),0.0214507746967675,80.5
19,lysate,P00350-(GND),0.0208547800342836,87.0
20,lysate,P00350-(GND),1.0,37.0
21,lysate,P00350-(GND),1.097965077278157,40.4
22,lysate,P00350-(GND),1.060798901830455,46.9
23,lysate,P00350-(GND),1.1958940592336669,52.9
24,lysate,P00350-(GND),1.1048296809681737,58.6
25,lysate,P00350-(GND),0.2640628781738447,62.8
26,lysate,P00350-(GND),0.0338569390381888,69.0
27,lysate,P00350-(GND),0.0278602256745307,74.8
28,lysate,P00350-(GND),0.0204307008635308,80.5
29,lysate,P00350-(GND),0.020045536360452,87.0
30,MgCl2,P00350-(GND),1.0,37.0
31,MgCl2,P00350-(GND),1.0196499664777252,40.4
32,MgCl2,P00350-(GND),1.09568384090923,46.9
33,MgCl2,P00350-(GND),0.9619275765291714,52.9
34,MgCl2,P00350-(GND),0.7277359983532928,58.6
35,MgCl2,P00350-(GND),0.1081466481580531,62.8
36,MgCl2,P00350-(GND),0.0358612357229427,69.0
37,MgCl2,P00350-(GND),0.0349317352220767,74.8
38,MgCl2,P00350-(GND),0.0280315687592737,80.5
39,MgCl2,P00350-(GND),0.0268996329515914,87.0
40,MgCl2,P00350-(GND),1.0,37.0
41,MgCl2,P00350-(GND),1.0671889722972316,40.4
42,MgCl2,P00350-(GND),1.0706438146566717,46.9
43,MgCl2,P00350-(GND),0.9951609886158868,52.9
44,MgCl2,P00350-(GND),0.7412846758733694,58.6
45,MgCl2,P00350-(GND),0.127080942405395,62.8
46,MgCl2,P00350-(GND),0.044438872611429,69.0
47,MgCl2,P00350-(GND),0.0412192077238779,74.8
48,MgCl2,P00350-(GND),0.0367200788441932,80.5
